timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1741290010192,7,15 Login Request,200,OK,User Thread Group 1-982,text,true,,647,262,367,367,http://localhost:8080/authentication/login,7,0,0
1741290008479,1724,16 Get Stock Prices Request,200,OK,User Thread Group 1-950,text,false,,400,592,367,367,http://localhost:8080/transaction/getStockPrices,1724,0,0
1741290010198,9,15 Login Request,200,OK,User Thread Group 1-983,text,true,,635,256,366,366,http://localhost:8080/authentication/login,9,0,0
1741290008423,1785,16 Get Stock Prices Request,200,OK,User Thread Group 1-854,text,false,,400,596,366,366,http://localhost:8080/transaction/getStockPrices,1785,0,0
1741290008478,1732,16 Get Stock Prices Request,200,OK,User Thread Group 1-790,text,false,,400,606,365,365,http://localhost:8080/transaction/getStockPrices,1732,0,0
1741290008479,1734,16 Get Stock Prices Request,200,OK,User Thread Group 1-649,text,false,,400,603,364,364,http://localhost:8080/transaction/getStockPrices,1734,0,0
1741290008487,1729,16 Get Stock Prices Request,200,OK,User Thread Group 1-773,text,false,,400,595,363,363,http://localhost:8080/transaction/getStockPrices,1729,0,0
1741290008479,1739,16 Get Stock Prices Request,200,OK,User Thread Group 1-703,text,false,,400,600,362,362,http://localhost:8080/transaction/getStockPrices,1739,0,0
1741290008422,1801,16 Get Stock Prices Request,200,OK,User Thread Group 1-686,text,false,,400,596,361,361,http://localhost:8080/transaction/getStockPrices,1801,0,0
1741290008495,1744,16 Get Stock Prices Request,200,OK,User Thread Group 1-797,text,false,,400,594,360,360,http://localhost:8080/transaction/getStockPrices,1744,0,0
1741290008486,1756,16 Get Stock Prices Request,200,OK,User Thread Group 1-450,text,false,,400,596,359,359,http://localhost:8080/transaction/getStockPrices,1756,0,0
1741290008513,1742,16 Get Stock Prices Request,200,OK,User Thread Group 1-627,text,false,,400,600,358,358,http://localhost:8080/transaction/getStockPrices,1742,0,0
1741290008514,1741,16 Get Stock Prices Request,200,OK,User Thread Group 1-990,text,false,,400,599,358,358,http://localhost:8080/transaction/getStockPrices,1741,0,0
1741290008512,1743,16 Get Stock Prices Request,200,OK,User Thread Group 1-851,text,false,,400,591,358,358,http://localhost:8080/transaction/getStockPrices,1743,0,0
1741290008511,1744,16 Get Stock Prices Request,200,OK,User Thread Group 1-966,text,false,,400,598,357,357,http://localhost:8080/transaction/getStockPrices,1744,0,0
1741290008500,1765,16 Get Stock Prices Request,200,OK,User Thread Group 1-761,text,false,,400,603,354,354,http://localhost:8080/transaction/getStockPrices,1765,0,0
1741290008511,1757,16 Get Stock Prices Request,200,OK,User Thread Group 1-645,text,false,,400,604,353,353,http://localhost:8080/transaction/getStockPrices,1757,0,0
1741290008504,1773,16 Get Stock Prices Request,200,OK,User Thread Group 1-650,text,false,,400,596,352,352,http://localhost:8080/transaction/getStockPrices,1773,0,0
1741290008376,1910,16 Get Stock Prices Request,200,OK,User Thread Group 1-623,text,false,,400,599,351,351,http://localhost:8080/transaction/getStockPrices,1910,0,0
1741290008498,1788,16 Get Stock Prices Request,200,OK,User Thread Group 1-296,text,false,,400,602,351,351,http://localhost:8080/transaction/getStockPrices,1788,0,0
1741290008496,1792,16 Get Stock Prices Request,200,OK,User Thread Group 1-857,text,false,,400,604,349,349,http://localhost:8080/transaction/getStockPrices,1792,0,0
1741290008377,1913,16 Get Stock Prices Request,200,OK,User Thread Group 1-819,text,false,,400,596,348,348,http://localhost:8080/transaction/getStockPrices,1913,0,0
1741290008378,1917,16 Get Stock Prices Request,200,OK,User Thread Group 1-779,text,false,,400,595,347,347,http://localhost:8080/transaction/getStockPrices,1917,0,0
1741290008376,1922,16 Get Stock Prices Request,200,OK,User Thread Group 1-884,text,false,,400,596,346,346,http://localhost:8080/transaction/getStockPrices,1922,0,0
1741290008378,1923,16 Get Stock Prices Request,200,OK,User Thread Group 1-964,text,false,,400,604,345,345,http://localhost:8080/transaction/getStockPrices,1923,0,0
1741290008383,1928,16 Get Stock Prices Request,200,OK,User Thread Group 1-930,text,false,,400,594,344,344,http://localhost:8080/transaction/getStockPrices,1928,0,0
1741290008385,1938,16 Get Stock Prices Request,200,OK,User Thread Group 1-928,text,false,,400,599,343,343,http://localhost:8080/transaction/getStockPrices,1938,0,0
1741290008389,1938,16 Get Stock Prices Request,200,OK,User Thread Group 1-565,text,false,,400,603,342,342,http://localhost:8080/transaction/getStockPrices,1938,0,0
1741290010323,9,15 Login Request,200,OK,User Thread Group 1-991,text,true,,644,263,341,341,http://localhost:8080/authentication/login,9,0,0
1741290010324,10,15 Login Request,200,OK,User Thread Group 1-996,text,true,,639,258,341,341,http://localhost:8080/authentication/login,10,0,0
1741290008390,1948,16 Get Stock Prices Request,200,OK,User Thread Group 1-954,text,false,,400,592,341,341,http://localhost:8080/transaction/getStockPrices,1948,0,0
1741290008391,1954,16 Get Stock Prices Request,200,OK,User Thread Group 1-934,text,false,,400,595,340,340,http://localhost:8080/transaction/getStockPrices,1954,0,0
1741290008389,1957,16 Get Stock Prices Request,200,OK,User Thread Group 1-694,text,false,,400,600,339,339,http://localhost:8080/transaction/getStockPrices,1957,0,0
1741290008394,1964,16 Get Stock Prices Request,200,OK,User Thread Group 1-944,text,false,,400,606,338,338,http://localhost:8080/transaction/getStockPrices,1964,0,0
1741290009661,700,16 Get Stock Prices Request,200,OK,User Thread Group 1-153,text,false,,400,596,337,337,http://localhost:8080/transaction/getStockPrices,700,0,0
1741290008392,1969,16 Get Stock Prices Request,200,OK,User Thread Group 1-659,text,false,,400,603,337,337,http://localhost:8080/transaction/getStockPrices,1969,0,0
1741290010355,7,15 Login Request,200,OK,User Thread Group 1-985,text,true,,633,260,335,335,http://localhost:8080/authentication/login,7,0,0
1741290008394,1969,16 Get Stock Prices Request,200,OK,User Thread Group 1-907,text,false,,400,606,335,335,http://localhost:8080/transaction/getStockPrices,1969,0,0
1741290008395,1976,16 Get Stock Prices Request,200,OK,User Thread Group 1-756,text,false,,400,595,334,334,http://localhost:8080/transaction/getStockPrices,1976,0,0
1741290008457,1921,16 Get Stock Prices Request,200,OK,User Thread Group 1-690,text,false,,400,602,333,333,http://localhost:8080/transaction/getStockPrices,1921,0,0
1741290008457,1925,16 Get Stock Prices Request,200,OK,User Thread Group 1-967,text,false,,400,591,332,332,http://localhost:8080/transaction/getStockPrices,1925,0,0
1741290008465,1925,16 Get Stock Prices Request,200,OK,User Thread Group 1-664,text,false,,400,592,331,331,http://localhost:8080/transaction/getStockPrices,1925,0,0
1741290008467,1929,16 Get Stock Prices Request,200,OK,User Thread Group 1-946,text,false,,400,599,330,330,http://localhost:8080/transaction/getStockPrices,1929,0,0
1741290008467,1930,16 Get Stock Prices Request,200,OK,User Thread Group 1-736,text,false,,400,591,330,330,http://localhost:8080/transaction/getStockPrices,1930,0,0
1741290008467,1931,16 Get Stock Prices Request,200,OK,User Thread Group 1-862,text,false,,400,598,328,328,http://localhost:8080/transaction/getStockPrices,1931,0,0
1741290009707,712,16 Get Stock Prices Request,200,OK,User Thread Group 1-160,text,false,,400,594,327,327,http://localhost:8080/transaction/getStockPrices,712,0,0
1741290008467,1956,16 Get Stock Prices Request,200,OK,User Thread Group 1-962,text,false,,400,591,326,326,http://localhost:8080/transaction/getStockPrices,1956,0,0
1741290009715,712,16 Get Stock Prices Request,200,OK,User Thread Group 1-145,text,false,,400,592,325,325,http://localhost:8080/transaction/getStockPrices,712,0,0
1741290009711,721,16 Get Stock Prices Request,200,OK,User Thread Group 1-171,text,false,,400,602,324,324,http://localhost:8080/transaction/getStockPrices,721,0,0
1741290009724,710,16 Get Stock Prices Request,200,OK,User Thread Group 1-170,text,false,,400,588,323,323,http://localhost:8080/transaction/getStockPrices,710,0,0
1741290008475,1959,16 Get Stock Prices Request,200,OK,User Thread Group 1-920,text,false,,400,590,323,323,http://localhost:8080/transaction/getStockPrices,1959,0,0
1741290009745,689,16 Get Stock Prices Request,200,OK,User Thread Group 1-172,text,false,,400,588,323,323,http://localhost:8080/transaction/getStockPrices,689,0,0
1741290009755,683,16 Get Stock Prices Request,200,OK,User Thread Group 1-176,text,false,,400,592,320,320,http://localhost:8080/transaction/getStockPrices,683,0,0
